# artifact_type: raw_data
# circuit_file: 02_complementary_push_pull.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\bjt\02_complementary_push_pull.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:10.334747

Time (s),V(out),V(in),I(VIN),V(vdd),V(vss),I(VDD),I(VSS)
0.0015628000000000033,-0.4602778174679525,-1.1532726701316,2.0960591486873792e-05,12.0,-12.0,-2.651013630838861e-08,0.004581844082466091
0.0015728000000000033,-0.6233942506167158,-1.3248933881699994,2.8603970929408362e-05,12.0,-12.0,-2.581855085281859e-08,0.006205364343117026
0.0015828000000000033,-0.7835659036911455,-1.491285357291505,3.59642021834361e-05,12.0,-12.0,-2.471752225119417e-08,0.007799719541736749
0.0015928000000000034,-0.9390360714482836,-1.6517919044112541,4.342371839244352e-05,12.0,-12.0,-2.3848912178436876e-08,0.009346960834633933
0.0016028000000000034,-1.0887985806414586,-1.8057795835162365,5.0430996814301854e-05,12.0,-12.0,-2.2580252334591933e-08,0.010837577379646746
0.0016128000000000034,-1.2320677218337148,-1.9526406755872934,5.743477195564728e-05,12.0,-12.0,-2.1552068574237637e-08,0.012263263988415929
0.0016228000000000034,-1.368139340080501,-2.091795586988477,6.390374053640013e-05,12.0,-12.0,-2.013391053878877e-08,0.013617509784253912
0.0016328000000000035,-1.496363855280052,-2.2226951368583205,7.028738940252632e-05,12.0,-12.0,-1.8964882997352106e-08,0.014893370118471694
0.0016428000000000035,-1.6161672502936615,-2.344822724475798,7.605883085086418e-05,12.0,-12.0,-1.741634036989126e-08,0.016085631078780693
0.0016528000000000035,-1.7270131453234838,-2.4576963680473765,8.167220534115172e-05,12.0,-12.0,-1.612613687029807e-08,0.01718847536449175
0.0016628000000000036,-1.828428942102645,-2.5608706068689355,8.660544652536184e-05,12.0,-12.0,-1.4467346431956685e-08,0.018197698432388165
0.0016728000000000036,-1.9199736986336238,-2.6539382593556757,9.131731058534265e-05,12.0,-12.0,-1.3076416394142143e-08,0.019108432742811488
0.0016828000000000036,-2.001267849551118,-2.7365320300017983,9.52910141156782e-05,12.0,-12.0,-1.1328125992804416e-08,0.01991739880028831
0.0016928000000000036,-2.071962470735418,-2.808325958928067,9.899061158810674e-05,12.0,-12.0,-9.857586746875313e-09,0.02062064394415586
0.0017028000000000037,-2.1317701982074793,-2.8690367082965382,0.00010190534319920452,12.0,-12.0,-8.041212140597054e-09,0.02121580467097317
0.0017128000000000037,-2.1804347758760545,-2.918424680515554,0.00010450532006778257,12.0,-12.0,-6.51262155315635e-09,0.021699848942247968
0.0017228000000000037,-2.2177623525908055,-2.9562949638219855,0.00010628651211785911,12.0,-12.0,-4.649947982215963e-09,0.022071341654665844
0.0017328000000000037,-2.243590935925747,-2.9824981015089094,0.00010772573495065885,12.0,-12.0,-3.0852618237986462e-09,0.022328186700534047
0.0017428000000000038,-2.2578217105581353,-2.996930681762951,0.00010832622611287035,12.0,-12.0,-1.1982876912952634e-09,0.022469892068741615
0.0017528000000000038,-2.2603882741350305,-2.9995357457834646,0.00010857194422597694,12.0,-12.0,3.8039615901652724e-10,0.02249531040776276
0.0017628000000000038,-2.251287802401939,-2.990303012572902,0.00010797369181314576,12.0,-12.0,2.2694450763083296e-09,0.022404902053750675
0.0017728000000000038,-2.2305500487588827,-2.9692689195112125,0.00010702274752133478,12.0,-12.0,3.8398439983211574e-09,0.022198473891194226
0.0017828000000000039,-2.198268269080366,-2.936516478554146,0.0001052375012446094,12.0,-12.0,5.708784556190949e-09,0.021877439471680304
0.001792800000000004,-2.1545680290010383,-2.8921749486229924,0.00010311644834715139,12.0,-12.0,7.24878645996796e-09,0.02144255658376437
0.001802800000000004,-2.099637860404796,-2.836419325478674,0.00010018531028851974,12.0,-12.0,9.075492357624171e-09,0.020896184209078683
0.001812800000000004,-2.0336979842759604,-2.7694696510934196,9.694942714222332e-05,12.0,-12.0,1.0563127261775662e-08,0.020240019843257073
0.001822800000000004,-1.9570307391424941,-2.6915901452456303,9.294134533854859e-05,12.0,-12.0,1.2325756415521028e-08,0.019477353711010892
0.001832800000000004,-1.8699494340571468,-2.6030881627651263,8.867265279274839e-05,12.0,-12.0,1.373928171233274e-08,0.01861080793908343
0.001842800000000004,-1.7728287206875666,-2.5043129805440447,8.368202649586265e-05,12.0,-12.0,1.541641836411145e-08,0.017644589754496565
0.001852800000000004,-1.666074030212615,-2.3956544191005302,7.84865666232093e-05,12.0,-12.0,1.6734631458348304e-08,0.01658223699129735
0.001862800000000004,-1.5501524022778406,-2.2775413041352217,7.263031636386974e-05,12.0,-12.0,1.8305257754036575e-08,0.015428875391449992
0.001872800000000004,-1.4255636142715065,-2.1504397741521393,6.663517919434925e-05,12.0,-12.0,1.950753869550681e-08,0.014188981446125126
0.0018828000000000041,-1.292873063456686,-2.0148514408229556,6.004997382448585e-05,12.0,-12.0,2.0951418377990194e-08,0.012868659699321938
0.0018928000000000042,-1.1526878893483579,-1.8713114093549077,5.3401109825407245e-05,12.0,-12.0,2.2017943024366105e-08,0.011473455755592
0.0019028000000000042,-1.0056977435077243,-1.7203861666750013,4.624242392008149e-05,12.0,-12.0,2.331567827695835e-08,0.010010711685225715
0.0019128000000000042,-0.8526687175807413,-1.5626713457649057,3.910618763736107e-05,12.0,-12.0,2.4227460926340427e-08,0.00848755675028201
