# artifact_type: raw_data
# circuit_file: amplifier circuit.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\amplifier circuit.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:01.903172

Time (s),V(n001),V(n002),V(n003),V(n004),V(n005),V(xu1.ndrv),I(E.XU1.E1),I(V1),I(V2),I(V3)
0.0011856000000000017,9.193271246827306e-06,-9.192352001515475,12.0,0.919245312749919,-12.0,-9.193271246827306,0.0009192453118309629,-1.2e-11,-0.0009192361194786722,-1.2e-11
0.0012056000000000018,9.614241891240626e-06,-9.613280552610659,12.0,0.9613386309271463,-12.0,-9.614241891240626,0.0009613386299669457,-1.2e-11,-0.0009613290166852551,-1.2e-11
0.0012256000000000018,9.883590197759361e-06,-9.882601926695731,12.0,0.9882710646187906,-12.0,-9.88359019775936,0.0009882710636297531,-1.2e-11,-0.0009882611810285928,-1.2e-11
0.0012456000000000019,9.997068382688832e-06,-9.996068764816574,12.0,0.9996178732568783,-12.0,-9.997068382688832,0.0009996178722584403,-1.2e-11,-0.0009996078761884957,-1.2e-11
0.001265600000000002,9.95288682726412e-06,-9.951891627154225,12.0,0.9952001108909323,-12.0,-9.952886827264122,0.0009952001098962882,-1.2e-11,-0.0009951901580041052,-1.2e-11
0.001285600000000002,9.75174230100705e-06,-9.750767213559751,12.0,0.9750874482725063,-12.0,-9.751742301007049,0.0009750874472977955,-1.2e-11,-0.0009750776965302052,-1.2e-11
0.001305600000000002,9.396806973254618e-06,-9.395867376181451,12.0,0.9395970741058158,-12.0,-9.396806973254618,0.0009395970731667092,-1.2e-11,-0.0009395876772988425,-1.2e-11
0.001325600000000002,8.893678386153572e-06,-8.892789097461668,12.0,0.8892886927923915,-12.0,-8.89367838615357,0.0008892886919031895,-1.2e-11,-0.0008892797991140053,-1.2e-11
0.0013456000000000021,8.250291178076927e-06,-8.249466222380194,12.0,0.8249556975583152,-12.0,-8.250291178076926,0.0008249556967321325,-1.2e-11,-0.0008249474472671371,-1.2e-11
0.0013656000000000022,7.4767919496369625e-06,-7.47604433697954,12.0,0.7476126581690987,-12.0,-7.476791949636962,0.0007476126574221809,-1.2e-11,-0.000747605181377149,-1.2e-11
0.0013856000000000022,6.585379245732196e-06,-6.584720766412296,12.0,0.6584793205583999,-12.0,-6.585379245732196,0.0006584793198998184,-1.2e-11,-0.0006584727351791542,-1.2e-11
0.0014056000000000023,5.590111177207368e-06,-5.589552215837221,12.0,0.558961370706017,-12.0,-5.590111177207368,0.0005589613701468821,-1.2e-11,-0.0005589557805948398,-1.2e-11
0.0014256000000000023,4.506683716047398e-06,-4.506233087781718,12.0,0.4506282661302594,-12.0,-4.506683716047398,0.00045062826568020853,-1.2e-11,-0.0004506237594465434,-1.2e-11
0.0014456000000000024,3.3521831605230316e-06,-3.3518479720387613,12.0,0.33518848460535267,-12.0,-3.3521831605230314,0.0003351884842701658,-1.2e-11,-0.0003351851324221922,-1.2e-11
0.0014656000000000024,2.144816674060045e-06,-2.1446022114798127,12.0,0.21446258044632277,-12.0,-2.1448166740600447,0.00021446258023205544,-1.2e-11,-0.0002144604356296487,-1.2e-11
0.0014856000000000025,9.036251473957725e-07,-0.9035347929225829,12.0,0.09035447327992042,-12.0,-0.9036251473957725,9.035447318961332e-05,-1.2e-11,-9.035356965477304e-05,-1.2e-11
0.0015056000000000026,-3.518170876424291e-07,0.35178190906455903,12.0,-0.03517857790525231,-12.0,0.35181708764242914,-3.5178577870109695e-05,-1.2e-11,3.517822608816467e-05,-1.2e-11
0.0015256000000000026,-1.6017109570431865e-06,1.6015508002014445,12.0,-0.16015684190219717,-12.0,1.6017109570431864,-0.0001601568417419763,-1.2e-11,0.00016015524019124015,-1.2e-11
0.0015456000000000027,-2.826344887835625e-06,2.8260622784990783,12.0,-0.2826093368292844,-12.0,2.8263448878356248,-0.0002826093365464466,-1.2e-11,0.0002826065104843966,-1.2e-11
0.0015656000000000027,-4.006405671370298e-06,4.006005066457006,12.0,-0.4006049136919391,-12.0,4.006405671370298,-0.00040060491329185766,-1.2e-11,0.0004006009072862678,-1.2e-11
0.0015856000000000028,-5.123283044156703e-06,5.12277076144546,12.0,-0.5122827117558946,-12.0,5.123283044156703,-0.0005122827112433725,-1.2e-11,0.0005122775884728504,-1.2e-11
0.0016056000000000028,-6.159363182835832e-06,6.158747301331015,12.0,-0.6158815054326027,-12.0,6.159363182835832,-0.0006158815048165067,-1.2e-11,0.0006158753460694199,-1.2e-11
0.0016256000000000029,-7.098306484696408e-06,7.097596717217258,12.0,-0.709767479858859,-12.0,7.098306484696408,-0.0007097674791500808,-1.2e-11,0.0007097603815523744,-1.2e-11
0.001645600000000003,-7.925305252970564e-06,7.924512792974223,12.0,-0.7924599971332007,-12.0,7.925305252970564,-0.0007924599963411438,-1.2e-11,0.0007924520718279477,-1.2e-11
0.001665600000000003,-8.62731722305752e-06,8.626454568111523,12.0,-0.8626549468600976,-12.0,8.62731722305752,-0.0008626549459975763,-1.2e-11,0.0008626463195428746,-1.2e-11
0.001685600000000003,-9.193271246827338e-06,9.192352001515507,12.0,-0.9192453127499222,-12.0,9.193271246827338,-0.0009192453118309629,-1.2e-11,0.0009192361194786754,-1.2e-11
0.001705600000000003,-9.614241891240651e-06,9.613280552610686,12.0,-0.9613386309271488,-12.0,9.61424189124065,-0.0009613386299651694,-1.2e-11,0.0009613290166852576,-1.2e-11
0.0017256000000000031,-9.883590197759371e-06,9.88260192669574,12.0,-0.9882710646187917,-12.0,9.883590197759371,-0.0009882710636315295,-1.2e-11,0.0009882611810285939,-1.2e-11
0.0017456000000000032,-9.997068382688835e-06,9.996068764816577,12.0,-0.9996178732568786,-12.0,9.997068382688836,-0.0009996178722584403,-1.2e-11,0.000999607876188496,-1.2e-11
0.0017656000000000032,-9.952886827264112e-06,9.951891627154216,12.0,-0.9952001108909315,-12.0,9.952886827264113,-0.0009952001098962882,-1.2e-11,0.0009951901580041043,-1.2e-11
0.0017856000000000033,-9.751742301007037e-06,9.75076721355974,12.0,-0.975087448272505,-12.0,9.751742301007038,-0.0009750874472977955,-1.2e-11,0.000975077696530204,-1.2e-11
0.0018056000000000033,-9.39680697325459e-06,9.395867376181423,12.0,-0.9395970741058128,-12.0,9.39680697325459,-0.0009395970731667092,-1.2e-11,0.0009395876772988396,-1.2e-11
0.0018256000000000034,-8.893678386153533e-06,8.892789097461629,12.0,-0.8892886927923875,-12.0,8.893678386153532,-0.0008892886919031895,-1.2e-11,0.0008892797991140014,-1.2e-11
0.0018456000000000034,-8.250291178076878e-06,8.249466222380144,12.0,-0.8249556975583103,-12.0,8.250291178076878,-0.0008249556967339089,-1.2e-11,0.0008249474472671322,-1.2e-11
0.0018656000000000035,-7.476791949636904e-06,7.4760443369794825,12.0,-0.7476126581690928,-12.0,7.476791949636904,-0.0007476126574212927,-1.2e-11,0.0007476051813771432,-1.2e-11
0.0018856000000000035,-6.58537924573213e-06,6.58472076641223,12.0,-0.6584793205583933,-12.0,6.58537924573213,-0.0006584793199007066,-1.2e-11,0.0006584727351791476,-1.2e-11
0.0019056000000000036,-5.590111177207295e-06,5.589552215837148,12.0,-0.5589613707060097,-12.0,5.5901111772072944,-0.0005589613701468821,-1.2e-11,0.0005589557805948325,-1.2e-11
0.0019256000000000037,-4.506683716047335e-06,4.506233087781655,12.0,-0.45062826613025314,-12.0,4.506683716047335,-0.00045062826568020853,-1.2e-11,0.0004506237594465371,-1.2e-11
0.0019456000000000037,-3.352183160522949e-06,3.3518479720386787,12.0,-0.33518848460534445,-12.0,3.352183160522949,-0.0003351884842701658,-1.2e-11,0.00033518513242218395,-1.2e-11
0.0019656000000000035,-2.1448166740599944e-06,2.1446022114797625,12.0,-0.2144625804463177,-12.0,2.1448166740599945,-0.00021446258023205544,-1.2e-11,0.00021446043562964364,-1.2e-11
0.0019856000000000036,-9.036251473957031e-07,0.9035347929225135,12.0,-0.09035447327991347,-12.0,0.9036251473957031,-9.035447318961332e-05,-1.2e-11,9.035356965476609e-05,-1.2e-11
