# artifact_type: raw_data
# circuit_file: 06_njf_source_follower.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\06_njf_source_follower.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:29.543802

Time (s),V(in),I(VIN),V(gate),V(sfollow),V(vdd),I(VDD)
0.0011428000000000022,0.0781607574825261,-7.84014881939632e-08,0.07816720386796819,2.467621998287555,10.0,-0.0004935241653711842
0.0011528000000000022,0.0819232122682454,-8.214315205812284e-08,0.08192885593048618,2.470967336746622,10.0,-0.000494193253052444
0.0011628000000000022,0.08536235356229739,-8.556076790469658e-08,0.08536715870493836,2.474025326934927,10.0,-0.0004948048717778875
0.0011728000000000023,0.08846460864518883,-8.864045450418523e-08,0.08846854278171777,2.4767838408645035,10.0,-0.0004953565962644291
0.0011828000000000023,0.09121773433339296,-9.137045118429166e-08,0.09122076841539346,2.479231936457517,10.0,-0.0004958462376105643
0.0011928000000000023,0.093610865297602,-9.373959054120862e-08,0.09361297382939388,2.481359901306962,10.0,-0.0004962718536454247
0.0012028000000000023,0.0956345569432177,-9.573891605885176e-08,0.09563571808247658,2.4831592920254844,10.0,-0.0004966317552081989
0.0012128000000000024,0.09728082268385159,-9.736014406833138e-08,0.09728101832780985,2.4846229679890706,10.0,-0.0004969245144703649
0.0012228000000000024,0.09854316546073272,-9.859726965086302e-08,0.09854238131762237,2.4857451203563694,10.0,-0.0004971489691811826
0.0012328000000000024,0.09941660338363023,-9.944501729725053e-08,0.09941482902908512,2.486521295223356,10.0,-0.0004973042288547447
0.0012428000000000025,0.09989768939209832,-9.990043462262954e-08,0.09989491831029358,2.4869484118278953,10.0,-0.000497389676846538
0.0012528000000000025,0.09998452485944884,-9.996133121595308e-08,0.09998075446881488,2.4870247747160192,10.0,-0.0004974049743662334
0.0012628000000000025,0.09967676708576349,-9.96278599757483e-08,0.09967199874917358,2.4867500808333194,10.0,-0.0004973500603053793
0.0012728000000000025,0.09897563065037386,-9.890094395531568e-08,0.0989698696697643,2.486125420490736,10.0,-0.0004972251530244165
