# artifact_type: raw_data
# circuit_file: 01_inverting_amplifier_subckt.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\subcircuit\01_inverting_amplifier_subckt.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:24:56.328460

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,V(inv)_mag,V(inv)_phase,V(inv)_real,V(inv)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,I(E.XOPAMP.EOPAMP)_mag,I(E.XOPAMP.EOPAMP)_phase,I(E.XOPAMP.EOPAMP)_real,I(E.XOPAMP.EOPAMP)_imag
3.9810717055349687,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
4.4668359215096265,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
5.0118723362727176,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
5.623413251903484,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
6.3095734448019245,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
7.07945784384137,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
7.943282347242804,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
8.912509381337442,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
9.999999999999984,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
11.220184543019615,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
12.58925411794165,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
14.125375446227517,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
