# artifact_type: raw_data
# circuit_file: 02_cmos_nand_gate.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\mosfet\02_cmos_nand_gate.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:47.370353

Time (s),V(out),V(a),V(b),V(mid),V(mna#body diode),V(mna#gate),V(mnb#body diode),V(mnb#gate),V(mpa#body diode),V(mpa#gate),V(mpb#body diode),V(mpb#gate),V(vdd),I(VA),I(VB),I(VDD)
6.098156839774869e-06,4.972487086946696,0.18431602251304025,5.0,-0.055309626510132145,-0.055035733011132376,0.19991495632103512,-0.011032144150805178,4.995937196028667,5.008152690936317,0.21008079949073943,5.008152690936317,5.008326731272767,5.0,0.013787903595231354,0.0014213091004779965,-0.0006884104086475799
6.099999999999999e-06,4.971745061451689,4.796163466380676e-14,5.0,-0.03707068645910411,-0.03798874331618293,0.051195980098112465,0.010682507413472432,5.003008480122969,4.992329828312974,0.013595970176567773,4.992329828312974,4.994769673537592,5.0,0.02159731675819477,-0.00074061544647952,-0.014895687272656936
6.10016071304529e-06,4.974256545586908,0.0,5.0,-0.03770912853405539,-0.03732515504093059,0.033895892797718985,0.00367209100368541,5.002343310160712,4.999198062173675,0.008608224053113345,4.999198062173675,4.997246432717782,5.0,0.014168038950277443,-0.00013675237383514727,-0.006499121844482579
6.100482139135871e-06,4.983179984936616,0.0,5.0,-0.03236852128508988,-0.03200412677022324,0.018188133557068498,0.0009514703120395446,5.002999719397322,5.001940326128558,0.003735575956154369,5.001940326128558,5.001471110298333,5.0,0.007307903171074288,0.0014902765652184957,-0.0015476527138383023
6.100693159212247e-06,4.988435116891012,0.0,5.0,-0.026627620472780333,-0.02693355819639498,0.01631705462735933,0.0026053670799745104,5.003941934598233,5.0000667960715015,0.002873813368444278,5.0000667960715015,5.001898876547266,5.0,0.006396955998601202,0.0019469370484994641,-0.0025968552413793296
6.1008408606446485e-06,4.990421292987351,0.0,5.0,-0.023844025888772935,-0.023976749847761214,0.013440781835128535,0.0018205541457919413,5.004103431973566,5.000540958738732,0.002084166369344498,5.000540958738732,5.001345667664252,5.0,0.005174982734824344,0.0018163665459394185,-0.0016028265590593116
6.100925835171369e-06,4.991619382713524,0.0,5.0,-0.022232099954188955,-0.022398254474675916,0.012416850828110948,0.0017659744234997735,5.0041856895295345,5.000398495415038,0.0018546859080141864,5.000398495415038,5.001232700780591,5.0,0.004757178912041711,0.0018061301033753807,-0.001473817637240202
6.101027511808715e-06,4.9927978015011725,0.0,5.0,-0.020489608882933164,-0.020678771139212904,0.0112110582345335,0.0016223463224694628,5.004218021930902,5.00033221911643,0.0015722462498719558,5.00033221911643,5.001077025668993,5.0,0.004261101494801818,0.0017650158666318028,-0.001272229743602755
6.101161726243618e-06,4.994125020116438,0.0,5.0,-0.018399509659876245,-0.018589491292846372,0.009813888927959202,0.0014510696556007847,5.0041917018485655,5.000281244232068,0.0012816936674253654,5.000281244232068,5.000897056717532,5.0,0.0036985275317948556,0.0016962528553658984,-0.0010340133212578576
6.1014301551134244e-06,4.996106719424519,0.0,5.0,-0.014854932381204777,-0.015052009291919632,0.007541820000594668,0.0011543015296327543,5.0039751624931545,5.000182304932558,0.0008444853594620216,5.000182304932558,5.000607932211803,5.0,0.0027954351200188965,0.001527698234986108,-0.0006876873985965923
