# artifact_type: raw_data
# circuit_file: 01_nmos_low_side_switch.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\mosfet\01_nmos_low_side_switch.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:43.854593

Time (s),V(drain),I(VIN),V(gate),V(m1#body diode),V(m1#gate),V(n1),V(vdd),I(LLOAD),I(VDD)
7.107326403483057e-06,-0.6385266406712368,-0.0004572352024633336,0.0,-0.05256201357216378,-0.001371705607390001,11.915721128268887,10.0,-0.01915721128268886,0.019157211282688866
7.207326403483057e-06,-0.6423189046690135,0.0004369752113973463,0.0,-0.058563027844941884,0.0013109256341920388,11.790784373035661,10.0,-0.01790784373035662,0.017907843730356615
7.307326403483057e-06,-0.6278159607682687,-0.00039790722629861323,0.0,-0.04530236951171057,-0.0011937216788958397,11.667144056560494,10.0,-0.01667144056560494,0.016671440565604934
7.4073264034830565e-06,-0.6308059197472033,0.0003807431066067257,0.0,-0.05099292290245283,0.001142229319820177,11.5447912705225,10.0,-0.015447912705225011,0.015447912705224998
7.507326403483056e-06,-0.6168041880076305,-0.00034440703739781935,0.0,-0.03818329827280226,-0.001033221112193458,11.42371071008071,10.0,-0.014237107100807108,0.014237107100807098
7.607326403483056e-06,-0.6188780024831682,0.0003303500930264538,0.0,-0.04358971010632551,0.0009910502790793614,11.303894274206819,10.0,-0.013038942742068188,0.013038942742068182
7.707326403483056e-06,-0.6053461273967043,-0.0002965090068839418,0.0,-0.031202188998342095,-0.0008895270206518255,11.185327046951627,10.0,-0.011853270469516274,0.011853270469516272
7.807326403483057e-06,-0.6063154219718573,0.00028569773182576775,0.0,-0.03635081275056856,0.0008570931954773034,11.068002093502514,10.0,-0.010680020935025139,0.010680020935025139
7.907326403483058e-06,-0.5932131678785592,-0.00025410757768836004,0.0,-0.024356263421127122,-0.0007623227330650802,10.951904915508209,10.0,-0.009519049155082084,0.009519049155082088
8.007326403483058e-06,-0.592362293530415,0.00024726099727502484,0.0,-0.029275638241295254,0.0007417829918250746,10.8370323518643,10.0,-0.00837032351864301,0.008370323518643003
8.107326403483059e-06,-0.5796892502343662,-0.00021819990303285848,0.0,-0.017639826133320602,-0.0006545997090985755,10.723370081976274,10.0,-0.007233700819762743,0.0072337008197627395
8.20732640348306e-06,-0.5766773922257731,0.00021581332571550825,0.0,-0.02236496511025224,0.0006474399771465248,10.610916814282678,10.0,-0.00610916814282679,0.006109168142826776
8.30732640348306e-06,-0.5643468820109918,-0.00018840764931556033,0.0,-0.011051591472461125,-0.000565222947946681,10.499658814766251,10.0,-0.004996588147662506,0.0049965881476625035
8.407326403483061e-06,-0.5570625626459984,0.0001939224543870864,0.0,-0.01562553987364751,0.0005817673631612593,10.389605446237944,10.0,-0.003896054462379447,0.0038960544623794363
8.507326403483062e-06,-0.544888809932013,-0.00016761456659047992,0.0,-0.004581454823739783,-0.0005028436997714398,10.280743942431707,10.0,-0.0028074394243170642,0.0028074394243170625
8.607326403483063e-06,-0.5250916934584277,0.0001940085184091167,0.0,-0.009096324524631563,0.0005820255552273501,10.173124696719,10.0,-0.0017312469671900068,0.0017312469671900005
8.707326403483064e-06,-0.5111486580779059,-0.00016519284292218408,0.0,0.0017964322609371614,-0.0004955785287665522,10.066744150724103,10.0,-0.000667441507241035,0.0006674415072410317
8.807326403483064e-06,-0.14052308370449415,0.0007142785375021444,0.0,-0.004338151817607086,0.002142835612506433,9.96333539429012,10.0,0.0003666460570987964,-0.00036664605709881004
8.907326403483065e-06,0.9129562973510816,0.00043789114666834537,0.0,0.0059216769392599795,0.001313673440005036,9.868040679986969,10.0,0.0013195932001303216,-0.0013195932001303229
9.007326403483066e-06,4.821304416414285,0.0017548730772567322,0.0,-0.002492700388129356,0.005264619231770197,9.7983798807521,10.0,0.0020162011924790067,-0.002016201192479014
9.107326403483066e-06,13.48906501584387,0.0008282950487954436,0.0,0.007025512795955884,0.002484885146386331,9.791979928865302,10.0,0.0020802007113469687,-0.0020802007113469856
9.207326403483067e-06,22.60926375501019,0.001377795093290845,0.0,-0.0036138075755004825,0.004133385279872535,9.874140968234077,10.0,0.0012585903176592337,-0.0012585903176592361
9.307326403483068e-06,25.836762391871495,-0.0006298679431561589,0.0,0.004650970437509415,-0.0018896038294684767,10.016915815052055,10.0,-0.00016915815052054436,0.00016915815052054306
9.407326403483069e-06,20.924664968955366,-0.000495859590304697,0.0,-0.006256882399600726,-0.001487578770914091,10.149888928140227,10.0,-0.0014988892814022732,0.0014988892814022658
9.50732640348307e-06,11.424571902422546,-0.0018500679347326372,0.0,0.0025038906486905483,-0.0055502038041979115,10.20983648542927,10.0,-0.002098364854292694,0.0020983648542926836
9.60732640348307e-06,3.7467794599927893,-0.0006231869222997777,0.0,-0.006889680941777465,-0.0018695607668993332,10.183725432650945,10.0,-0.0018372543265094505,0.0018372543265094549
9.707326403483071e-06,0.6963820734487057,-0.0012837215392983636,0.0,0.003952188969129494,-0.003851164617895091,10.104500112591937,10.0,-0.0010450011259193813,0.0010450011259193759
9.807326403483072e-06,0.0005843260042738265,0.000509356536929764,0.0,-0.0049958006709697736,0.0015280696107892921,10.007425317439049,10.0,-7.425317439048112e-05,7.425317439048451e-05
9.907326403483072e-06,0.4916638822757096,5.4598659455383416e-05,0.0,0.00575711358524777,0.00016379597836615025,9.910297942182341,10.0,0.0008970205781765892,-0.0008970205781765883
9.999999999999999e-06,2.7151169099144106,0.0016447491356683553,0.0,-0.0031799623477285137,0.004934247407005066,9.8336699121164,10.0,0.0016633008788359874,-0.0016633008788359965
1.000144675744674e-05,2.8165200181505985,-0.0029774431989326444,0.07233787233701014,0.0028116257402852896,0.0634055427402122,9.83265484758522,10.0,0.001673451524147809,-0.001673451524147801
1.0004340272340221e-05,3.036753582346955,-0.005091479331119711,0.21701361701111513,0.003519356582485089,0.20173917901775598,9.830656870036647,10.0,0.0016934312996335318,-0.0016934312996335354
1.0010127302127184e-05,3.5022697410951964,-0.003823581248817154,0.5063651063592404,0.0029140401661913104,0.49489436261278896,9.826861014097505,10.0,0.001731389859024949,-0.0017313898590249621
1.0016642016015887e-05,4.045103893810065,-0.0046494111660164705,0.832100800794386,0.003358589278342858,0.8181525672963366,9.822918828407136,10.0,0.001770811715928632,-0.0017708117159286468
1.0029671443793293e-05,5.152505623545792,-0.0040014061393591205,1.4835721896646772,0.0025444149335540137,1.4715679712465999,9.816116538207334,10.0,0.0018388346179266538,-0.0018388346179266657
1.0031076123040848e-05,5.244262108542312,-0.004500709649994494,1.5538061520424664,0.0021565058610019117,1.540304023092483,9.815474429498993,10.0,0.001845255705010076,-0.0018452557050100682
1.0033885481535962e-05,5.223986497435919,-0.006722619705686217,1.6942740767981297,-0.0025204060960408448,1.6741062176810708,9.814187544775319,10.0,0.0018581245522468074,-0.0018581245522468204
1.0039504198526187e-05,3.049161024570443,-0.02366058372814095,1.9752099263093719,-0.02536042003232805,1.904228175124949,9.810998350231316,10.0,0.0018900164976868416,-0.0018900164976868444
1.0045358551515936e-05,0.3046040144319861,-0.04968563074402366,2.267927575796839,-0.024459578309781044,2.1188706835647677,9.806237745211167,10.0,0.0019376225478883332,-0.0019376225478883319
1.0048756840673155e-05,-0.005698584856565755,-0.007278647337213617,2.4378420336578066,0.007808898872512378,2.4160060916461656,9.802956647930785,10.0,0.001970433520692161,-0.0019704335206921636
1.0052091017215831e-05,0.053482982033925146,-0.008642896209740125,2.6045508607916137,-0.004025741507175767,2.5786221721623934,9.799696678666805,10.0,0.002003033213331954,-0.0020030332133319506
1.005319056499306e-05,0.026464120923721152,-0.011727210165170199,2.659528249653021,-0.0007994887668720464,2.62434661915751,9.79862360947426,10.0,0.0020137639052573994,-0.0020137639052573986
1.0053942183701917e-05,0.03730772382388322,-0.009598351124787019,2.6971091850959126,0.0025584381079324647,2.6683141317215515,9.797889550783859,10.0,0.002021104492161408,-0.0020211044921614185
1.0054540273736391e-05,0.03170526080723678,-0.010425448696092188,2.7270136868195873,-0.002668955799003803,2.6957373407313105,9.797305630034716,10.0,0.0020269436996528355,-0.002026943699652853
1.0055196595744696e-05,0.03428414510218766,-0.00984620128446656,2.759829787234867,0.002084776693395151,2.730291183381467,9.79666479784859,10.0,0.002033352021514088,-0.0020333520215140982
1.0056445792860373e-05,0.03183528765196483,-0.010197642238199078,2.8222896430186903,-0.0018704481880677769,2.7916967163040933,9.795445207293405,10.0,0.0020455479270659604,-0.0020455479270659604
1.0057572603297203e-05,0.03321013202396362,-0.009866089640785836,2.8786301648601724,0.001551778394447967,2.849031895937815,9.794345172973502,10.0,0.0020565482702649784,-0.0020565482702649823
1.0059025736845082e-05,0.031572392728715024,-0.010128795893394882,2.9512868422541514,-0.001392049940240328,2.9209004545739665,9.792926733760549,10.0,0.0020707326623945195,-0.00207073266239452
